elevation,pps
208,POINT (40.253750000000004 48.082638888888894)
210,POINT (40.253750000000004 48.082916666666669)
211,POINT (40.253750000000004 48.083194444444445)
214,POINT (40.253750000000004 48.083472222222227)
216,POINT (40.253750000000004 48.08375)
216,POINT (40.253750000000004 48.084027777777777)
218,POINT (40.253750000000004 48.084305555555559)
220,POINT (40.253750000000004 48.084583333333335)
220,POINT (40.253750000000004 48.084861111111117)
223,POINT (40.253750000000004 48.085138888888892)
225,POINT (40.253750000000004 48.085416666666667)
223,POINT (40.253750000000004 48.085694444444449)
224,POINT (40.253750000000004 48.085972222222225)
224,POINT (40.253750000000004 48.08625)
226,POINT (40.253750000000004 48.086527777777782)
226,POINT (40.253750000000004 48.086805555555557)
224,POINT (40.253750000000004 48.087083333333332)
223,POINT (40.253750000000004 48.087361111111115)
225,POINT (40.253750000000004 48.08763888888889)
226,POINT (40.253750000000004 48.087916666666672)
226,POINT (40.253750000000004 48.088194444444447)
225,POINT (40.253750000000004 48.088472222222222)
224,POINT (40.253750000000004 48.088750000000005)
224,POINT (40.253750000000004 48.08902777777778)
225,POINT (40.253750000000004 48.089305555555555)
223,POINT (40.253750000000004 48.089583333333337)
221,POINT (40.253750000000004 48.089861111111112)
221,POINT (40.253750000000004 48.090138888888895)
219,POINT (40.253750000000004 48.09041666666667)
219,POINT (40.253750000000004 48.090694444444445)
217,POINT (40.253750000000004 48.090972222222227)
217,POINT (40.253750000000004 48.09125)
215,POINT (40.253750000000004 48.091527777777777)
214,POINT (40.253750000000004 48.09180555555556)
213,POINT (40.253750000000004 48.092083333333335)
215,POINT (40.253750000000004 48.09236111111111)
216,POINT (40.253750000000004 48.092638888888892)
214,POINT (40.253750000000004 48.092916666666667)
215,POINT (40.253750000000004 48.09319444444445)
217,POINT (40.253750000000004 48.093472222222225)
216,POINT (40.253750000000004 48.09375)
215,POINT (40.253750000000004 48.094027777777782)
213,POINT (40.253750000000004 48.094305555555557)
214,POINT (40.253750000000004 48.094583333333333)
212,POINT (40.254027777777779 48.082083333333337)
210,POINT (40.254027777777779 48.082361111111112)
209,POINT (40.254027777777779 48.082638888888894)
210,POINT (40.254027777777779 48.082916666666669)
211,POINT (40.254027777777779 48.083194444444445)
216,POINT (40.254027777777779 48.083472222222227)
221,POINT (40.254027777777779 48.08375)
219,POINT (40.254027777777779 48.084027777777777)
219,POINT (40.254027777777779 48.084305555555559)
221,POINT (40.254027777777779 48.084583333333335)
220,POINT (40.254027777777779 48.084861111111117)
224,POINT (40.254027777777779 48.085138888888892)
226,POINT (40.254027777777779 48.085416666666667)
224,POINT (40.254027777777779 48.085694444444449)
224,POINT (40.254027777777779 48.085972222222225)
225,POINT (40.254027777777779 48.08625)
226,POINT (40.254027777777779 48.086527777777782)
226,POINT (40.254027777777779 48.086805555555557)
225,POINT (40.254027777777779 48.087083333333332)
223,POINT (40.254027777777779 48.087361111111115)
225,POINT (40.254027777777779 48.08763888888889)
225,POINT (40.254027777777779 48.087916666666672)
226,POINT (40.254027777777779 48.088194444444447)
226,POINT (40.254027777777779 48.088472222222222)
224,POINT (40.254027777777779 48.088750000000005)
225,POINT (40.254027777777779 48.08902777777778)
226,POINT (40.254027777777779 48.089305555555555)
224,POINT (40.254027777777779 48.089583333333337)
223,POINT (40.254027777777779 48.089861111111112)
222,POINT (40.254027777777779 48.090138888888895)
220,POINT (40.254027777777779 48.09041666666667)
219,POINT (40.254027777777779 48.090694444444445)
218,POINT (40.254027777777779 48.090972222222227)
218,POINT (40.254027777777779 48.09125)
217,POINT (40.254027777777779 48.091527777777777)
214,POINT (40.254027777777779 48.09180555555556)
214,POINT (40.254027777777779 48.092083333333335)
216,POINT (40.254027777777779 48.09236111111111)
216,POINT (40.254027777777779 48.092638888888892)
215,POINT (40.254027777777779 48.092916666666667)
213,POINT (40.254027777777779 48.09319444444445)
216,POINT (40.254027777777779 48.093472222222225)
216,POINT (40.254027777777779 48.09375)
214,POINT (40.254027777777779 48.094027777777782)
214,POINT (40.254027777777779 48.094305555555557)
215,POINT (40.254027777777779 48.094583333333333)
212,POINT (40.254305555555561 48.082083333333337)
210,POINT (40.254305555555561 48.082361111111112)
210,POINT (40.254305555555561 48.082638888888894)
211,POINT (40.254305555555561 48.082916666666669)
213,POINT (40.254305555555561 48.083194444444445)
216,POINT (40.254305555555561 48.083472222222227)
219,POINT (40.254305555555561 48.08375)
220,POINT (40.254305555555561 48.084027777777777)
220,POINT (40.254305555555561 48.084305555555559)
222,POINT (40.254305555555561 48.084583333333335)
222,POINT (40.254305555555561 48.084861111111117)
224,POINT (40.254305555555561 48.085138888888892)
226,POINT (40.254305555555561 48.085416666666667)
227,POINT (40.254305555555561 48.085694444444449)
227,POINT (40.254305555555561 48.085972222222225)
227,POINT (40.254305555555561 48.08625)
227,POINT (40.254305555555561 48.086527777777782)
226,POINT (40.254305555555561 48.086805555555557)
226,POINT (40.254305555555561 48.087083333333332)
226,POINT (40.254305555555561 48.087361111111115)
226,POINT (40.254305555555561 48.08763888888889)
227,POINT (40.254305555555561 48.087916666666672)
227,POINT (40.254305555555561 48.088194444444447)
227,POINT (40.254305555555561 48.088472222222222)
227,POINT (40.254305555555561 48.088750000000005)
226,POINT (40.254305555555561 48.08902777777778)
226,POINT (40.254305555555561 48.089305555555555)
225,POINT (40.254305555555561 48.089583333333337)
223,POINT (40.254305555555561 48.089861111111112)
222,POINT (40.254305555555561 48.090138888888895)
222,POINT (40.254305555555561 48.09041666666667)
220,POINT (40.254305555555561 48.090694444444445)
218,POINT (40.254305555555561 48.090972222222227)
218,POINT (40.254305555555561 48.09125)
217,POINT (40.254305555555561 48.091527777777777)
215,POINT (40.254305555555561 48.09180555555556)
215,POINT (40.254305555555561 48.092083333333335)
215,POINT (40.254305555555561 48.09236111111111)
217,POINT (40.254305555555561 48.092638888888892)
218,POINT (40.254305555555561 48.092916666666667)
217,POINT (40.254305555555561 48.09319444444445)
215,POINT (40.254305555555561 48.093472222222225)
213,POINT (40.254305555555561 48.09375)
213,POINT (40.254305555555561 48.094027777777782)
213,POINT (40.254305555555561 48.094305555555557)
215,POINT (40.254305555555561 48.094583333333333)
213,POINT (40.254583333333336 48.082083333333337)
211,POINT (40.254583333333336 48.082361111111112)
211,POINT (40.254583333333336 48.082638888888894)
212,POINT (40.254583333333336 48.082916666666669)
214,POINT (40.254583333333336 48.083194444444445)
217,POINT (40.254583333333336 48.083472222222227)
220,POINT (40.254583333333336 48.08375)
220,POINT (40.254583333333336 48.084027777777777)
221,POINT (40.254583333333336 48.084305555555559)
223,POINT (40.254583333333336 48.084583333333335)
224,POINT (40.254583333333336 48.084861111111117)
225,POINT (40.254583333333336 48.085138888888892)
227,POINT (40.254583333333336 48.085416666666667)
229,POINT (40.254583333333336 48.085694444444449)
229,POINT (40.254583333333336 48.085972222222225)
228,POINT (40.254583333333336 48.08625)
228,POINT (40.254583333333336 48.086527777777782)
227,POINT (40.254583333333336 48.086805555555557)
227,POINT (40.254583333333336 48.087083333333332)
227,POINT (40.254583333333336 48.087361111111115)
227,POINT (40.254583333333336 48.08763888888889)
227,POINT (40.254583333333336 48.087916666666672)
228,POINT (40.254583333333336 48.088194444444447)
228,POINT (40.254583333333336 48.088472222222222)
227,POINT (40.254583333333336 48.088750000000005)
227,POINT (40.254583333333336 48.08902777777778)
226,POINT (40.254583333333336 48.089305555555555)
227,POINT (40.254583333333336 48.089583333333337)
224,POINT (40.254583333333336 48.089861111111112)
223,POINT (40.254583333333336 48.090138888888895)
222,POINT (40.254583333333336 48.09041666666667)
222,POINT (40.254583333333336 48.090694444444445)
220,POINT (40.254583333333336 48.090972222222227)
218,POINT (40.254583333333336 48.09125)
217,POINT (40.254583333333336 48.091527777777777)
216,POINT (40.254583333333336 48.09180555555556)
216,POINT (40.254583333333336 48.092083333333335)
215,POINT (40.254583333333336 48.09236111111111)
217,POINT (40.254583333333336 48.092638888888892)
221,POINT (40.254583333333336 48.092916666666667)
222,POINT (40.254583333333336 48.09319444444445)
214,POINT (40.254583333333336 48.093472222222225)
214,POINT (40.254583333333336 48.09375)
214,POINT (40.254583333333336 48.094027777777782)
214,POINT (40.254583333333336 48.094305555555557)
215,POINT (40.254583333333336 48.094583333333333)
214,POINT (40.254861111111111 48.082083333333337)
211,POINT (40.254861111111111 48.082361111111112)
210,POINT (40.254861111111111 48.082638888888894)
213,POINT (40.254861111111111 48.082916666666669)
216,POINT (40.254861111111111 48.083194444444445)
217,POINT (40.254861111111111 48.083472222222227)
220,POINT (40.254861111111111 48.08375)
221,POINT (40.254861111111111 48.084027777777777)
222,POINT (40.254861111111111 48.084305555555559)
225,POINT (40.254861111111111 48.084583333333335)
225,POINT (40.254861111111111 48.084861111111117)
226,POINT (40.254861111111111 48.085138888888892)
228,POINT (40.254861111111111 48.085416666666667)
229,POINT (40.254861111111111 48.085694444444449)
229,POINT (40.254861111111111 48.085972222222225)
229,POINT (40.254861111111111 48.08625)
230,POINT (40.254861111111111 48.086527777777782)
228,POINT (40.254861111111111 48.086805555555557)
228,POINT (40.254861111111111 48.087083333333332)
228,POINT (40.254861111111111 48.087361111111115)
226,POINT (40.254861111111111 48.08763888888889)
225,POINT (40.254861111111111 48.087916666666672)
227,POINT (40.254861111111111 48.088194444444447)
227,POINT (40.254861111111111 48.088472222222222)
227,POINT (40.254861111111111 48.088750000000005)
226,POINT (40.254861111111111 48.08902777777778)
228,POINT (40.254861111111111 48.089305555555555)
228,POINT (40.254861111111111 48.089583333333337)
224,POINT (40.254861111111111 48.089861111111112)
221,POINT (40.254861111111111 48.090138888888895)
223,POINT (40.254861111111111 48.09041666666667)
220,POINT (40.254861111111111 48.090694444444445)
220,POINT (40.254861111111111 48.090972222222227)
218,POINT (40.254861111111111 48.09125)
218,POINT (40.254861111111111 48.091527777777777)
216,POINT (40.254861111111111 48.09180555555556)
216,POINT (40.254861111111111 48.092083333333335)
217,POINT (40.254861111111111 48.09236111111111)
219,POINT (40.254861111111111 48.092638888888892)
223,POINT (40.254861111111111 48.092916666666667)
225,POINT (40.254861111111111 48.09319444444445)
215,POINT (40.254861111111111 48.093472222222225)
218,POINT (40.254861111111111 48.09375)
217,POINT (40.254861111111111 48.094027777777782)
217,POINT (40.254861111111111 48.094305555555557)
216,POINT (40.254861111111111 48.094583333333333)
214,POINT (40.255138888888894 48.082083333333337)
211,POINT (40.255138888888894 48.082361111111112)
212,POINT (40.255138888888894 48.082638888888894)
214,POINT (40.255138888888894 48.082916666666669)
217,POINT (40.255138888888894 48.083194444444445)
214,POINT (40.255138888888894 48.083472222222227)
219,POINT (40.255138888888894 48.08375)
222,POINT (40.255138888888894 48.084027777777777)
223,POINT (40.255138888888894 48.084305555555559)
223,POINT (40.255138888888894 48.084583333333335)
226,POINT (40.255138888888894 48.084861111111117)
228,POINT (40.255138888888894 48.085138888888892)
229,POINT (40.255138888888894 48.085416666666667)
228,POINT (40.255138888888894 48.085694444444449)
230,POINT (40.255138888888894 48.085972222222225)
229,POINT (40.255138888888894 48.08625)
228,POINT (40.255138888888894 48.086527777777782)
228,POINT (40.255138888888894 48.086805555555557)
229,POINT (40.255138888888894 48.087083333333332)
228,POINT (40.255138888888894 48.087361111111115)
226,POINT (40.255138888888894 48.08763888888889)
226,POINT (40.255138888888894 48.087916666666672)
231,POINT (40.255138888888894 48.088194444444447)
230,POINT (40.255138888888894 48.088472222222222)
229,POINT (40.255138888888894 48.088750000000005)
227,POINT (40.255138888888894 48.08902777777778)
226,POINT (40.255138888888894 48.089305555555555)
224,POINT (40.255138888888894 48.089583333333337)
226,POINT (40.255138888888894 48.089861111111112)
225,POINT (40.255138888888894 48.090138888888895)
226,POINT (40.255138888888894 48.09041666666667)
