elevation,pps
165,POINT (40.556527777777781 47.99125)
167,POINT (40.556527777777781 47.991527777777783)
170,POINT (40.556527777777781 47.991805555555558)
171,POINT (40.556527777777781 47.992083333333333)
172,POINT (40.556527777777781 47.992361111111116)
173,POINT (40.556527777777781 47.992638888888891)
173,POINT (40.556527777777781 47.992916666666666)
174,POINT (40.556527777777781 47.993194444444448)
175,POINT (40.556527777777781 47.993472222222223)
176,POINT (40.556527777777781 47.993750000000006)
176,POINT (40.556527777777781 47.994027777777781)
175,POINT (40.556527777777781 47.994305555555556)
175,POINT (40.556527777777781 47.994583333333338)
177,POINT (40.556527777777781 47.994861111111113)
177,POINT (40.556527777777781 47.995138888888889)
177,POINT (40.556527777777781 47.995416666666671)
177,POINT (40.556527777777781 47.995694444444446)
178,POINT (40.556527777777781 47.995972222222221)
178,POINT (40.556527777777781 47.99625)
178,POINT (40.556527777777781 47.996527777777779)
177,POINT (40.556527777777781 47.996805555555561)
177,POINT (40.556527777777781 47.997083333333336)
176,POINT (40.556527777777781 47.997361111111111)
174,POINT (40.556527777777781 47.997638888888893)
173,POINT (40.556527777777781 47.997916666666669)
173,POINT (40.556527777777781 47.998194444444444)
172,POINT (40.556527777777781 47.998472222222226)
172,POINT (40.556527777777781 47.99875)
171,POINT (40.556527777777781 47.999027777777783)
171,POINT (40.556527777777781 47.999305555555559)
171,POINT (40.556527777777781 47.999583333333334)
170,POINT (40.556527777777781 47.999861111111116)
169,POINT (40.556527777777781 48.000972222222224)
168,POINT (40.556527777777781 48.00125)
167,POINT (40.556527777777781 48.001527777777781)
167,POINT (40.556527777777781 48.001805555555556)
166,POINT (40.556527777777781 48.002083333333339)
165,POINT (40.556527777777781 48.002361111111114)
163,POINT (40.556527777777781 48.002638888888889)
163,POINT (40.556527777777781 48.002916666666671)
163,POINT (40.556527777777781 48.003194444444446)
162,POINT (40.556527777777781 48.003472222222221)
162,POINT (40.556527777777781 48.003750000000004)
161,POINT (40.556527777777781 48.004027777777779)
160,POINT (40.556527777777781 48.004305555555561)
159,POINT (40.556527777777781 48.004583333333336)
159,POINT (40.556527777777781 48.004861111111111)
160,POINT (40.556527777777781 48.005138888888894)
162,POINT (40.556527777777781 48.005416666666669)
165,POINT (40.556527777777781 48.005694444444444)
166,POINT (40.556527777777781 48.005972222222226)
166,POINT (40.556527777777781 48.00625)
168,POINT (40.556527777777781 48.006527777777777)
166,POINT (40.556805555555556 47.99125)
168,POINT (40.556805555555556 47.991527777777783)
170,POINT (40.556805555555556 47.991805555555558)
171,POINT (40.556805555555556 47.992083333333333)
172,POINT (40.556805555555556 47.992361111111116)
172,POINT (40.556805555555556 47.992638888888891)
173,POINT (40.556805555555556 47.992916666666666)
173,POINT (40.556805555555556 47.993194444444448)
174,POINT (40.556805555555556 47.993472222222223)
175,POINT (40.556805555555556 47.993750000000006)
175,POINT (40.556805555555556 47.994027777777781)
174,POINT (40.556805555555556 47.994305555555556)
175,POINT (40.556805555555556 47.994583333333338)
176,POINT (40.556805555555556 47.994861111111113)
177,POINT (40.556805555555556 47.995138888888889)
177,POINT (40.556805555555556 47.995416666666671)
177,POINT (40.556805555555556 47.995694444444446)
177,POINT (40.556805555555556 47.995972222222221)
178,POINT (40.556805555555556 47.99625)
178,POINT (40.556805555555556 47.996527777777779)
177,POINT (40.556805555555556 47.996805555555561)
176,POINT (40.556805555555556 47.997083333333336)
175,POINT (40.556805555555556 47.997361111111111)
173,POINT (40.556805555555556 47.997638888888893)
173,POINT (40.556805555555556 47.997916666666669)
173,POINT (40.556805555555556 47.998194444444444)
172,POINT (40.556805555555556 47.998472222222226)
172,POINT (40.556805555555556 47.99875)
172,POINT (40.556805555555556 47.999027777777783)
172,POINT (40.556805555555556 47.999305555555559)
172,POINT (40.556805555555556 47.999583333333334)
171,POINT (40.556805555555556 47.999861111111116)
169,POINT (40.556805555555556 48.000972222222224)
169,POINT (40.556805555555556 48.00125)
168,POINT (40.556805555555556 48.001527777777781)
168,POINT (40.556805555555556 48.001805555555556)
167,POINT (40.556805555555556 48.002083333333339)
165,POINT (40.556805555555556 48.002361111111114)
163,POINT (40.556805555555556 48.002638888888889)
162,POINT (40.556805555555556 48.002916666666671)
163,POINT (40.556805555555556 48.003194444444446)
163,POINT (40.556805555555556 48.003472222222221)
163,POINT (40.556805555555556 48.003750000000004)
163,POINT (40.556805555555556 48.004027777777779)
161,POINT (40.556805555555556 48.004305555555561)
160,POINT (40.556805555555556 48.004583333333336)
160,POINT (40.556805555555556 48.004861111111111)
161,POINT (40.556805555555556 48.005138888888894)
163,POINT (40.556805555555556 48.005416666666669)
165,POINT (40.556805555555556 48.005694444444444)
166,POINT (40.556805555555556 48.005972222222226)
166,POINT (40.556805555555556 48.00625)
168,POINT (40.556805555555556 48.006527777777777)
166,POINT (40.557083333333338 47.99125)
168,POINT (40.557083333333338 47.991527777777783)
170,POINT (40.557083333333338 47.991805555555558)
171,POINT (40.557083333333338 47.992083333333333)
171,POINT (40.557083333333338 47.992361111111116)
172,POINT (40.557083333333338 47.992638888888891)
172,POINT (40.557083333333338 47.992916666666666)
172,POINT (40.557083333333338 47.993194444444448)
173,POINT (40.557083333333338 47.993472222222223)
174,POINT (40.557083333333338 47.993750000000006)
175,POINT (40.557083333333338 47.994027777777781)
174,POINT (40.557083333333338 47.994305555555556)
175,POINT (40.557083333333338 47.994583333333338)
176,POINT (40.557083333333338 47.994861111111113)
177,POINT (40.557083333333338 47.995138888888889)
177,POINT (40.557083333333338 47.995416666666671)
177,POINT (40.557083333333338 47.995694444444446)
177,POINT (40.557083333333338 47.995972222222221)
177,POINT (40.557083333333338 47.99625)
178,POINT (40.557083333333338 47.996527777777779)
177,POINT (40.557083333333338 47.996805555555561)
176,POINT (40.557083333333338 47.997083333333336)
175,POINT (40.557083333333338 47.997361111111111)
173,POINT (40.557083333333338 47.997638888888893)
173,POINT (40.557083333333338 47.997916666666669)
172,POINT (40.557083333333338 47.998194444444444)
172,POINT (40.557083333333338 47.998472222222226)
172,POINT (40.557083333333338 47.99875)
173,POINT (40.557083333333338 47.999027777777783)
173,POINT (40.557083333333338 47.999305555555559)
172,POINT (40.557083333333338 47.999583333333334)
172,POINT (40.557083333333338 47.999861111111116)
169,POINT (40.557083333333338 48.000972222222224)
169,POINT (40.557083333333338 48.00125)
169,POINT (40.557083333333338 48.001527777777781)
168,POINT (40.557083333333338 48.001805555555556)
167,POINT (40.557083333333338 48.002083333333339)
166,POINT (40.557083333333338 48.002361111111114)
164,POINT (40.557083333333338 48.002638888888889)
163,POINT (40.557083333333338 48.002916666666671)
162,POINT (40.557083333333338 48.003194444444446)
162,POINT (40.557083333333338 48.003472222222221)
163,POINT (40.557083333333338 48.003750000000004)
163,POINT (40.557083333333338 48.004027777777779)
163,POINT (40.557083333333338 48.004305555555561)
161,POINT (40.557083333333338 48.004583333333336)
161,POINT (40.557083333333338 48.004861111111111)
162,POINT (40.557083333333338 48.005138888888894)
164,POINT (40.557083333333338 48.005416666666669)
166,POINT (40.557083333333338 48.005694444444444)
167,POINT (40.557083333333338 48.005972222222226)
167,POINT (40.557083333333338 48.00625)
169,POINT (40.557083333333338 48.006527777777777)
166,POINT (40.557361111111113 47.99125)
168,POINT (40.557361111111113 47.991527777777783)
170,POINT (40.557361111111113 47.991805555555558)
170,POINT (40.557361111111113 47.992083333333333)
171,POINT (40.557361111111113 47.992361111111116)
171,POINT (40.557361111111113 47.992638888888891)
172,POINT (40.557361111111113 47.992916666666666)
172,POINT (40.557361111111113 47.993194444444448)
172,POINT (40.557361111111113 47.993472222222223)
173,POINT (40.557361111111113 47.993750000000006)
174,POINT (40.557361111111113 47.994027777777781)
174,POINT (40.557361111111113 47.994305555555556)
175,POINT (40.557361111111113 47.994583333333338)
176,POINT (40.557361111111113 47.994861111111113)
177,POINT (40.557361111111113 47.995138888888889)
177,POINT (40.557361111111113 47.995416666666671)
177,POINT (40.557361111111113 47.995694444444446)
177,POINT (40.557361111111113 47.995972222222221)
177,POINT (40.557361111111113 47.99625)
178,POINT (40.557361111111113 47.996527777777779)
177,POINT (40.557361111111113 47.996805555555561)
176,POINT (40.557361111111113 47.997083333333336)
175,POINT (40.557361111111113 47.997361111111111)
174,POINT (40.557361111111113 47.997638888888893)
173,POINT (40.557361111111113 47.997916666666669)
172,POINT (40.557361111111113 47.998194444444444)
172,POINT (40.557361111111113 47.998472222222226)
172,POINT (40.557361111111113 47.99875)
173,POINT (40.557361111111113 47.999027777777783)
173,POINT (40.557361111111113 47.999305555555559)
173,POINT (40.557361111111113 47.999583333333334)
171,POINT (40.557361111111113 47.999861111111116)
168,POINT (40.557361111111113 48.000972222222224)
169,POINT (40.557361111111113 48.00125)
168,POINT (40.557361111111113 48.001527777777781)
167,POINT (40.557361111111113 48.001805555555556)
167,POINT (40.557361111111113 48.002083333333339)
166,POINT (40.557361111111113 48.002361111111114)
164,POINT (40.557361111111113 48.002638888888889)
163,POINT (40.557361111111113 48.002916666666671)
162,POINT (40.557361111111113 48.003194444444446)
162,POINT (40.557361111111113 48.003472222222221)
162,POINT (40.557361111111113 48.003750000000004)
163,POINT (40.557361111111113 48.004027777777779)
163,POINT (40.557361111111113 48.004305555555561)
162,POINT (40.557361111111113 48.004583333333336)
162,POINT (40.557361111111113 48.004861111111111)
164,POINT (40.557361111111113 48.005138888888894)
165,POINT (40.557361111111113 48.005416666666669)
167,POINT (40.557361111111113 48.005694444444444)
167,POINT (40.557361111111113 48.005972222222226)
168,POINT (40.557361111111113 48.00625)
169,POINT (40.557361111111113 48.006527777777777)
166,POINT (40.557638888888889 47.99125)
168,POINT (40.557638888888889 47.991527777777783)
169,POINT (40.557638888888889 47.991805555555558)
169,POINT (40.557638888888889 47.992083333333333)
170,POINT (40.557638888888889 47.992361111111116)
170,POINT (40.557638888888889 47.992638888888891)
171,POINT (40.557638888888889 47.992916666666666)
171,POINT (40.557638888888889 47.993194444444448)
171,POINT (40.557638888888889 47.993472222222223)
172,POINT (40.557638888888889 47.993750000000006)
